output/FLOPS_DP_gw4a64fxlogin01_0.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  284500000 |
output/FLOPS_DP_gw4a64fxlogin01_10.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_11.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_12.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  284500000 |
output/FLOPS_DP_gw4a64fxlogin01_13.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_14.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_15.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_16.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  284500000 |
output/FLOPS_DP_gw4a64fxlogin01_17.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_18.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_19.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_1.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_20.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  284500000 |
output/FLOPS_DP_gw4a64fxlogin01_21.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_22.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_23.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_24.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  284500000 |
output/FLOPS_DP_gw4a64fxlogin01_25.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_26.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_27.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_28.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  284500000 |
output/FLOPS_DP_gw4a64fxlogin01_29.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_2.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_30.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_31.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_32.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  284500000 |
output/FLOPS_DP_gw4a64fxlogin01_33.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_34.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_35.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_36.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  284500000 |
output/FLOPS_DP_gw4a64fxlogin01_37.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_38.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_39.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_3.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_40.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  284500000 |
output/FLOPS_DP_gw4a64fxlogin01_41.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_42.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_43.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_44.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  284500000 |
output/FLOPS_DP_gw4a64fxlogin01_45.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_46.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_47.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_4.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  284500000 |
output/FLOPS_DP_gw4a64fxlogin01_5.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_6.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_7.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_8.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  284500000 |
output/FLOPS_DP_gw4a64fxlogin01_9.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   284500000 |
output/FLOPS_DP_gw4a64fxlogin01_0.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   36000000 |
output/FLOPS_DP_gw4a64fxlogin01_10.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_11.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_12.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   36000000 |
output/FLOPS_DP_gw4a64fxlogin01_13.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_14.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_15.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_16.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   36000000 |
output/FLOPS_DP_gw4a64fxlogin01_17.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_18.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_19.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_1.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_20.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   36000000 |
output/FLOPS_DP_gw4a64fxlogin01_21.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_22.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_23.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_24.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   36000000 |
output/FLOPS_DP_gw4a64fxlogin01_25.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_26.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_27.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_28.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   36000000 |
output/FLOPS_DP_gw4a64fxlogin01_29.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_2.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_30.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_31.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_32.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   36000000 |
output/FLOPS_DP_gw4a64fxlogin01_33.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_34.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_35.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
output/FLOPS_DP_gw4a64fxlogin01_36.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   36000000 |
output/FLOPS_DP_gw4a64fxlogin01_37.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    36000000 |
