output/FLOPS_DP_c4n3_0.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |    2500017 |
output/FLOPS_DP_c4n3_10.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_11.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_12.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |    2500017 |
output/FLOPS_DP_c4n3_13.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_14.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_15.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_16.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |    2500017 |
output/FLOPS_DP_c4n3_17.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_18.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_19.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_1.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_20.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |    2500017 |
output/FLOPS_DP_c4n3_21.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_22.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_23.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_24.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |    2500017 |
output/FLOPS_DP_c4n3_25.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_26.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_27.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_28.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |    2500017 |
output/FLOPS_DP_c4n3_29.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_2.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_30.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_31.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_32.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |    2500017 |
output/FLOPS_DP_c4n3_33.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_34.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_35.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_36.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |    2500017 |
output/FLOPS_DP_c4n3_37.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_38.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_39.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_3.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_40.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |    2500017 |
output/FLOPS_DP_c4n3_41.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_42.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_43.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_44.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |    2500017 |
output/FLOPS_DP_c4n3_45.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_46.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_47.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_4.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |    2500017 |
output/FLOPS_DP_c4n3_5.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_6.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_7.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_8.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |    2500017 |
output/FLOPS_DP_c4n3_9.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |     2500017 |
output/FLOPS_DP_c4n3_0.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   28437500 |
output/FLOPS_DP_c4n3_10.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_11.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_12.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   28437500 |
output/FLOPS_DP_c4n3_13.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_14.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_15.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_16.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   28437500 |
output/FLOPS_DP_c4n3_17.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_18.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_19.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_1.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_20.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   28437500 |
output/FLOPS_DP_c4n3_21.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_22.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_23.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_24.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   28437500 |
output/FLOPS_DP_c4n3_25.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_26.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_27.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_28.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   28437500 |
output/FLOPS_DP_c4n3_29.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_2.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_30.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_31.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_32.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   28437500 |
output/FLOPS_DP_c4n3_33.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_34.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_35.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_36.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   28437500 |
output/FLOPS_DP_c4n3_37.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_38.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_39.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_3.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_40.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   28437500 |
output/FLOPS_DP_c4n3_41.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_42.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_43.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_44.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   28437500 |
output/FLOPS_DP_c4n3_45.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_46.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_47.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_4.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   28437500 |
output/FLOPS_DP_c4n3_5.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_6.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_7.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
output/FLOPS_DP_c4n3_8.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |   28437500 |
output/FLOPS_DP_c4n3_9.txt:| FP_DP_SCALE_OPS_SPEC |   PMC4  |    28437500 |
