output/FLOPS_DP_c5n0_0.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  680725400 |
output/FLOPS_DP_c5n0_10.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_11.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_12.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  680725400 |
output/FLOPS_DP_c5n0_13.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_14.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_15.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_16.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  680725400 |
output/FLOPS_DP_c5n0_17.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_18.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_19.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_1.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_20.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  680725400 |
output/FLOPS_DP_c5n0_21.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_22.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_23.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_24.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  680725400 |
output/FLOPS_DP_c5n0_25.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_26.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_27.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_28.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |  680725400 |
output/FLOPS_DP_c5n0_29.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_2.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
output/FLOPS_DP_c5n0_30.txt:| FP_DP_FIXED_OPS_SPEC |   PMC3  |   680725400 |
